@relation dataset371-weka.filters.unsupervised.attribute.RemoveUseless-M99.0-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.unsupervised.attribute.NominalToBinary-A-R5-weka.filters.unsupervised.attribute.ReplaceMissingValues-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0

@attribute bone_length numeric
@attribute rotting_flesh numeric
@attribute hair_length numeric
@attribute has_soul numeric
@attribute color=clear numeric
@attribute color=green numeric
@attribute color=black numeric
@attribute color=white numeric
@attribute color=blue numeric
@attribute color=blood numeric
@attribute type {Ghoul,Goblin,Ghost}

@data
0.388217,0.304922,0.382668,0.833126,1,0,0,0,0,0,Ghoul
0.680621,0.394586,0.458517,0.464739,0,1,0,0,0,0,Goblin
0.538174,0.309094,0.782316,0.844011,0,0,1,0,0,0,Ghoul
0.946626,0.493602,0.58027,0.944666,0,0,1,0,0,0,Ghoul
0.668129,0.932355,0.328165,0.676912,0,1,0,0,0,0,Ghost
0.455902,0.188329,0.354541,0.292472,0,1,0,0,0,0,Goblin
0.447504,0.565579,0.559037,0.494969,0,0,0,1,0,0,Goblin
0.602131,0.526713,0.552549,0.495127,1,0,0,0,0,0,Ghoul
0.335018,0.687867,0.326632,0.235498,0,0,0,0,1,0,Ghost
0.290898,0.723931,0.052037,0.142263,0,0,0,1,0,0,Ghost
0.490302,0.41023,0.120883,0.4992,1,0,0,0,0,0,Goblin
0.692503,0.594416,0.631576,1,1,0,0,0,0,0,Ghoul
0.436103,0.286076,0.487068,0.836445,0,0,0,1,0,0,Ghoul
0.384311,0.448614,0.404273,0.492191,0,0,1,0,0,0,Goblin
0.598378,0.245773,0.70612,0.579055,1,0,0,0,0,0,Goblin
0.58093,0.409584,0.459822,0.708309,1,0,0,0,0,0,Ghoul
0.250986,0.179941,0.485387,0.259774,0,0,1,0,0,0,Ghost
0.693847,0.58588,1,0.754913,0,0,1,0,0,0,Ghoul
0.72067,0.588275,0.45616,0.558464,0,0,0,0,1,0,Ghoul
0.612522,0.783123,0.450701,0.468474,0,1,0,0,0,0,Ghost
0.584855,0.440221,0.419671,0.499427,1,0,0,0,0,0,Goblin
0.544428,0.396119,0.526381,0.374694,0,0,0,1,0,0,Ghoul
0.41459,0.34477,0.625454,0.437536,1,0,0,0,0,0,Goblin
0.373452,0.360624,0.397823,0.661134,0,0,0,1,0,0,Ghoul
0.828373,0.246049,0.724924,0.544496,1,0,0,0,0,0,Ghoul
0.222202,0.563621,0.276338,0.345706,0,0,0,1,0,0,Ghost
0.433178,0.294724,0.618242,0.571344,1,0,0,0,0,0,Goblin
0.570666,0.630405,0.543424,0.395911,0,1,0,0,0,0,Goblin
0.463817,0.428295,0.316035,0.457206,0,0,0,1,0,0,Goblin
0.321661,0.204614,0.453692,0.407323,1,0,0,0,0,0,Goblin
0.809484,0.627157,0.347948,0.344714,1,0,0,0,0,0,Ghoul
0.534495,0.410665,0.132583,0.202932,0,1,0,0,0,0,Ghost
0.652775,0.639335,0.529101,0.654161,0,0,0,1,0,0,Goblin
0.612058,0.266254,0.22596,0.451248,0,1,0,0,0,0,Goblin
0.657651,0.579216,0.737386,0.390079,0,0,1,0,0,0,Ghoul
0.522957,0.430844,0.117555,0.314237,0,0,0,0,1,0,Ghost
0.441719,0.571542,0.398075,0.510937,0,0,0,1,0,0,Ghost
0.76103,0.484446,0.697013,0.740767,1,0,0,0,0,0,Ghoul
0.665702,0.386976,0.633616,0.500139,0,0,0,1,0,0,Ghoul
0.300301,0.607201,0.392138,0.430621,0,0,1,0,0,0,Ghost
0.468376,0.40504,0.66197,0.558033,0,0,0,1,0,0,Ghoul
0.523703,0.635119,0.380395,0.460764,0,0,1,0,0,0,Ghost
0.625997,0.566239,0.429872,0.279507,0,0,0,1,0,0,Ghost
0.428491,0.621484,0.502594,0.481349,0,0,1,0,0,0,Goblin
0.334817,0.389666,0.642811,0.459715,0,0,0,1,0,0,Ghoul
0.299167,0.520048,0.383782,0.313705,0,1,0,0,0,0,Goblin
0.556483,0.515744,0.699873,0.746455,0,0,0,0,0,1,Ghoul
0.273965,0.68063,0.115951,0.337056,1,0,0,0,0,0,Ghost
0.399295,0.660913,0.57382,0.470295,1,0,0,0,0,0,Goblin
0.309797,0.28218,0.522595,0.519775,1,0,0,0,0,0,Goblin
0.675407,0.40186,0.58552,0.488917,0,0,1,0,0,0,Ghoul
0.574673,0.545174,0.779674,0.969763,0,1,0,0,0,0,Ghoul
0.50809,1,0.097217,0.036617,1,0,0,0,0,0,Ghost
0.749528,0.889556,0.323799,0.517333,0,1,0,0,0,0,Goblin
0.444762,0.689905,0.481932,0.161893,0,0,0,1,0,0,Ghost
0.816815,0.455477,0.395831,0.518133,0,0,0,0,1,0,Goblin
0.321799,0.438979,0.289793,0.226608,1,0,0,0,0,0,Ghost
0.600875,0.581922,0.501642,0.566411,1,0,0,0,0,0,Goblin
0.586273,0.627491,0.238588,0.366155,0,0,1,0,0,0,Ghost
0.597439,0.384554,0.628001,0.849524,0,0,0,1,0,0,Ghoul
0.742599,0.480326,0.382273,0.485512,1,0,0,0,0,0,Goblin
0.195237,0.506165,0.560387,0.305218,0,1,0,0,0,0,Goblin
0.916007,0.496817,0.635982,0.531288,0,0,0,1,0,0,Ghoul
0.568748,0.537129,0.413597,0.316197,0,0,1,0,0,0,Goblin
0.799504,0.560701,0.53315,0.688467,0,0,0,1,0,0,Ghoul
0.725694,0.657701,0.126132,0.36579,0,0,1,0,0,0,Ghost
