@relation test-weka.filters.unsupervised.attribute.Remove-R16-17-weka.filters.unsupervised.attribute.Remove-R15-weka.filters.unsupervised.attribute.Remove-R11-weka.filters.unsupervised.attribute.MathExpression-EA*100-V-R11-weka.filters.unsupervised.attribute.MathExpression-EA-273.15-V-R1-weka.filters.unsupervised.attribute.MathExpression-E(A+0.650031)/(16.050012+0.650031)-V-R1-weka.filters.unsupervised.attribute.MathExpression-E(A-96020)/(103850-96020)-V-R2-weka.filters.unsupervised.attribute.MathExpression-E(A-48)/(100-48)-V-R3-weka.filters.unsupervised.attribute.MathExpression-E(A+24.399998)/(25.300001+24.399998)-V-R4-weka.filters.unsupervised.attribute.MathExpression-E(A+17.9)/(21.10002+17.9)-V-R5-weka.filters.unsupervised.attribute.MathExpression-E(A+0)/(359-0)-V-R6-weka.filters.unsupervised.attribute.MathExpression-E(A-0.1)/(19.7-0.1)-V-R7-weka.filters.unsupervised.attribute.MathExpression-E(A-0.4)/(26.1-0.4)-V-R8-weka.filters.unsupervised.attribute.MathExpression-E(A-2.94)/(17.39-2.94)-V-R9-weka.filters.unsupervised.attribute.MathExpression-E(A-3.1)/(11.09-3.1)-V-R10-weka.filters.unsupervised.attribute.MathExpression-E(A-95880)/(103830-95880)-V-R11-weka.filters.unsupervised.attribute.MathExpression-E(A+0.9)/(15.8+0.9)-V-R12-weka.filters.unsupervised.attribute.MathExpression-E(A-6)/(16.1-6)-V-R13-weka.filters.unsupervised.attribute.MathExpression-E(A-6)/(16.1-6)-V-R13-unset-class-temporarily-weka.filters.unsupervised.attribute.Remove-R3-weka.filters.unsupervised.attribute.Remove-R6-weka.filters.unsupervised.attribute.Remove-R7-weka.filters.unsupervised.attribute.Remove-R10-weka.filters.unsupervised.attribute.Remove-R10

@attribute air numeric
@attribute pres numeric
@attribute uwnd numeric
@attribute vwnd numeric
@attribute WDIR numeric
@attribute GST numeric
@attribute APD numeric
@attribute PRES numeric
@attribute ATMP numeric
@attribute Class_WVHT {0,1,2,3}

@data
0.401199,1.014049,0.641851,0.251282,0.891365,0.435798,0.531915,1.010063,0.389222,?
0.371259,1.025543,0.557344,0.261538,0.866295,0.346304,0.446809,1.025157,0.389222,?
0.341319,1.025543,0.549296,0.320513,0.910864,0.264591,0.486859,1.025157,0.377246,?
0.305389,1.007663,0.573441,0.315385,0.852368,0.252918,0.438048,1.011321,0.347305,?
0.365271,0.987229,0.607646,0.279487,0.855153,0.291829,0.339174,0.989937,0.407186,?
0.341317,0.975734,0.523139,0.238461,0.910864,0.307393,0.187735,0.978616,0.42515,?
0.371257,0.947637,0.571429,0.205128,0.89415,0.350195,0.239049,0.962264,0.42515,?
0.365269,0.961686,0.509054,0.220513,0.899721,0.326848,0.201502,0.957233,0.42515,?
0.437126,0.952746,0.533199,0.217949,0.905292,0.299611,0.414268,0.953459,0.437126,?
0.377246,0.960409,0.531187,0.251282,0.922006,0.272374,0.301627,0.962264,0.419162,?
0.371259,0.962963,0.555332,0.246154,0.908078,0.361868,0.290363,0.967296,0.413174,?
0.359282,0.97318,0.515091,0.246154,0.896936,0.264591,0.315394,0.968553,0.407186,?
0.377246,0.959132,0.492958,0.294872,0.997214,0.256809,0.302879,0.966038,0.407186,?
0.305389,0.971903,0.498994,0.353846,0.949861,0.163424,0.277847,0.973585,0.311377,?
0.281439,0.968072,0.539235,0.374359,0.905292,0.18677,0.385482,0.974843,0.281437,?
0.239522,0.96424,0.561368,0.348718,0.855153,0.245136,0.271589,0.967296,0.251497,?
0.275451,0.954023,0.599598,0.341026,0.791086,0.284047,0.229036,0.949686,0.281437,?
0.353292,0.931034,0.649899,0.364102,0.807799,0.311284,0.187735,0.928302,0.407186,?
0.341319,0.891443,0.726358,0.258974,0.844011,0.478599,0.275344,0.895597,0.401198,?
0.389222,0.862069,0.696177,0.171795,0.880223,0.587549,0.350438,0.859119,0.407186,?
0.443114,0.812261,0.686117,0.182051,0.927577,0.55642,0.399249,0.825157,0.401198,?
0.335329,0.735632,0.668008,0.069231,0.952646,0.747082,0.465582,0.743396,0.317365,?
0.221559,0.643678,0.418511,0.094872,0.058496,?,?,?,?,?
0.107785,0.633461,0.396378,0.120513,0.077994,0.70428,0.533166,0.664151,0.047904,?
0.167665,0.661558,0.358149,0.148718,0.16156,0.603113,0.52816,0.695597,0.167665,?
0.215569,0.687101,0.360161,0.115385,0.155989,0.540856,0.599499,0.72327,0.179641,?
0.215569,0.685824,0.309859,0.14359,0.144847,0.59144,0.55194,0.724528,0.191617,?
0.251499,0.690932,0.279678,0.117949,0.142061,0.649805,0.480601,0.727044,0.209581,?
0.263474,0.690932,0.261569,0.15641,0.142061,0.614786,0.500626,0.732075,0.239521,?
0.335331,0.67433,0.269618,0.125641,0.150418,0.684825,0.463079,0.722013,0.299401,?
0.335331,0.62963,0.249497,0.146154,0.119777,0.607004,0.553191,0.672956,0.383234,?
0.371257,0.57599,0.301811,0.051282,0.122563,0.657588,0.449312,0.625157,0.437126,?
0.335331,0.568327,0.243461,0.135897,0.125348,0.610895,0.554443,0.602516,0.443114,?
0.281437,0.583653,0.237425,0.169231,0.172702,0.66537,0.642053,0.630189,0.365269,?
0.23952,0.650064,0.207243,0.174359,0.167131,0.544747,0.55194,0.679245,0.377246,?
0.323354,0.698595,0.295775,0.15641,0.139276,0.40856,0.489362,0.728302,0.419162,?
0.311379,0.744572,0.352113,0.3,0.116992,0.291829,0.453066,0.749686,0.407186,?
0.317366,0.762452,0.472837,0.287179,0.033426,0.225681,0.426783,0.777358,0.383234,?
0.341317,0.779055,0.482897,0.302564,0.910864,0.225681,0.380476,0.779874,0.377246,?
0.341319,0.776501,0.468813,0.292308,0.977716,0.206226,0.371715,0.784906,0.335329,?
0.329342,0.777778,0.531187,0.371795,0.922006,0.14786,0.414268,0.781132,0.287425,?
0.299402,0.758621,0.577465,0.348718,0.796657,0.291829,0.352941,0.761006,0.269461,?
0.293412,0.750958,0.61167,0.433333,0.763231,0.311284,0.282854,0.744654,0.269461,?
0.281437,0.736909,0.676056,0.461538,0.749304,0.350195,0.197747,0.724528,0.311377,?
0.275451,0.717752,0.700201,0.51282,0.732591,0.40856,0.225282,0.70566,0.311377,?
0.257486,0.698595,0.708249,0.487179,0.727019,0.466926,0.244055,0.685535,0.293413,?
0.209582,0.671775,0.678068,0.528205,0.718663,0.474708,0.31164,0.665409,0.281437,?
0.227545,0.621967,0.525151,0.653846,0.635097,0.346304,0.300375,0.641509,0.251497,?
0.323352,0.509579,0.327968,0.841025,0.428969,0.540856,0.211514,0.552201,0.317365,?
0.431139,0.403576,0.55332,0.892307,0.448468,0.533074,0.404255,0.410063,0.401198,?
0.497006,0.357599,0.549296,0.858974,0.523677,0.607004,0.47184,0.358491,0.45509,?
0.407186,0.323116,0.599598,0.843589,0.523677,0.579767,0.521902,0.31195,0.443114,?
0.395209,0.36143,0.702213,0.823077,0.610028,0.579767,0.499374,0.324528,0.42515,?
0.329342,0.445722,0.655936,0.794871,0.62117,0.626459,0.550688,0.415094,0.407186,?
0.395209,0.462324,0.585513,0.784615,0.559889,0.525292,0.538173,0.451572,0.407186,?
0.347306,0.498084,0.72837,0.610256,0.651811,0.463035,0.529412,0.461635,0.401198,?
0.299402,0.581098,0.700201,0.533333,0.735376,0.533074,0.550688,0.569811,0.257485,?
0.359282,0.553001,0.416499,0.620513,0.56546,0.287938,0.629537,0.574843,0.341317,?
0.407186,0.33461,0.156942,0.76923,0.345404,0.789883,0.479349,0.411321,0.335329,?
0.455089,0.153257,0.541247,0.984615,0.501393,0.599222,0.51189,0.179874,0.45509,?
0.425149,0.123883,0.551308,0.823077,0.501393,0.389105,0.573217,0.139623,0.413174,?
0.377246,0.172414,0.690141,0.694871,0.5961,0.420233,0.637046,0.166038,0.383234,?
0.317366,0.283525,0.792757,0.428205,0.807799,0.684825,0.760951,0.230189,0.365269,?
0.107785,0.365262,0.778672,0.44359,0.746518,0.642023,0.760951,0.343396,0.161677,?
0.119762,0.411239,0.627767,0.451282,0.735376,0.361868,0.68836,0.401258,0.143713,?
0.107785,0.402299,0.474849,0.464102,0.752089,0.178988,0.683354,0.420126,0.149701,?
0.161677,0.344828,0.408451,0.423077,0.29805,0.128405,0.635795,0.376101,0.179641,?
