@relation test-weka.filters.unsupervised.attribute.Remove-R16-17-weka.filters.unsupervised.attribute.Remove-R15-weka.filters.unsupervised.attribute.Remove-R11-weka.filters.unsupervised.attribute.MathExpression-EA*100-V-R11-weka.filters.unsupervised.attribute.MathExpression-EA-273.15-V-R1-weka.filters.unsupervised.attribute.MathExpression-E(A+0.650031)/(16.050012+0.650031)-V-R1-weka.filters.unsupervised.attribute.MathExpression-E(A-96020)/(103850-96020)-V-R2-weka.filters.unsupervised.attribute.MathExpression-E(A-48)/(100-48)-V-R3-weka.filters.unsupervised.attribute.MathExpression-E(A+24.399998)/(25.300001+24.399998)-V-R4-weka.filters.unsupervised.attribute.MathExpression-E(A+17.9)/(21.10002+17.9)-V-R5-weka.filters.unsupervised.attribute.MathExpression-E(A+0)/(359-0)-V-R6-weka.filters.unsupervised.attribute.MathExpression-E(A-0.1)/(19.7-0.1)-V-R7-weka.filters.unsupervised.attribute.MathExpression-E(A-0.4)/(26.1-0.4)-V-R8-weka.filters.unsupervised.attribute.MathExpression-E(A-2.94)/(17.39-2.94)-V-R9-weka.filters.unsupervised.attribute.MathExpression-E(A-3.1)/(11.09-3.1)-V-R10-weka.filters.unsupervised.attribute.MathExpression-E(A-95880)/(103830-95880)-V-R11-weka.filters.unsupervised.attribute.MathExpression-E(A+0.9)/(15.8+0.9)-V-R12-weka.filters.unsupervised.attribute.MathExpression-E(A-6)/(16.1-6)-V-R13-weka.filters.unsupervised.attribute.MathExpression-E(A-6)/(16.1-6)-V-R13-unset-class-temporarily

@attribute air numeric
@attribute pres numeric
@attribute rhum numeric
@attribute uwnd numeric
@attribute vwnd numeric
@attribute WDIR numeric
@attribute WSPD numeric
@attribute GST numeric
@attribute DPD numeric
@attribute APD numeric
@attribute PRES numeric
@attribute ATMP numeric
@attribute WTMP numeric
@attribute Class_WVHT {0,1,2,3}

@data
0.401199,1.014049,0.5,0.641851,0.251282,0.891365,0.47449,0.435798,0.425606,0.531915,1.010063,0.389222,0.019802,?
0.371259,1.025543,0.615385,0.557344,0.261538,0.866295,0.403061,0.346304,0.821453,0.446809,1.025157,0.389222,0.019802,?
0.341319,1.025543,0.769231,0.549296,0.320513,0.910864,0.280612,0.264591,0.689273,0.486859,1.025157,0.377246,0.009901,?
0.305389,1.007663,1,0.573441,0.315385,0.852368,0.290816,0.252918,0.689273,0.438048,1.011321,0.347305,0,?
0.365271,0.987229,0.846154,0.607646,0.279487,0.855153,0.321429,0.291829,0.635294,0.339174,0.989937,0.407186,0.019802,?
0.341317,0.975734,0.769231,0.523139,0.238461,0.910864,0.362245,0.307393,0.181315,0.187735,0.978616,0.42515,0.029703,?
0.371257,0.947637,0.846154,0.571429,0.205128,0.89415,0.397959,0.350195,0.160554,0.239049,0.962264,0.42515,0.039604,?
0.365269,0.961686,0.884615,0.509054,0.220513,0.899721,0.357143,0.326848,0.142561,0.201502,0.957233,0.42515,0.019802,?
0.437126,0.952746,0.788462,0.533199,0.217949,0.905292,0.341837,0.299611,0.689273,0.414268,0.953459,0.437126,0.019802,?
0.377246,0.960409,0.942308,0.531187,0.251282,0.922006,0.321429,0.272374,0.689273,0.301627,0.962264,0.419162,0.019802,?
0.371259,0.962963,0.884615,0.555332,0.246154,0.908078,0.408163,0.361868,0.587543,0.290363,0.967296,0.413174,0.009901,?
0.359282,0.97318,0.865385,0.515091,0.246154,0.896936,0.316327,0.264591,0.544637,0.315394,0.968553,0.407186,0.019802,?
0.377246,0.959132,0.903846,0.492958,0.294872,0.997214,0.280612,0.256809,0.488581,0.302879,0.966038,0.407186,0.009901,?
0.305389,0.971903,1,0.498994,0.353846,0.949861,0.147959,0.163424,0.544637,0.277847,0.973585,0.311377,0.019802,?
