@RELATION "train-weka.filters.unsupervised.attribute.Remove-R11,16-17-weka.filters.unsupervised.attribute.Remove-R14"

@ATTRIBUTE air NUMERIC
@ATTRIBUTE pres NUMERIC
@ATTRIBUTE rhum NUMERIC
@ATTRIBUTE uwnd NUMERIC
@ATTRIBUTE vwnd NUMERIC
@ATTRIBUTE WDIR NUMERIC
@ATTRIBUTE WSPD NUMERIC
@ATTRIBUTE GST NUMERIC
@ATTRIBUTE DPD NUMERIC
@ATTRIBUTE APD NUMERIC
@ATTRIBUTE PRES NUMERIC
@ATTRIBUTE ATMP NUMERIC
@ATTRIBUTE WTMP NUMERIC
@ATTRIBUTE Class_WVHT {Baja, Media, Moderada, MuyAlta}

@DATA
285.299988,101320.0,92.0,8.0,2.699997,256.0,6.2,7.1,9.52849,4.4615254,1012.7,13.0,13.4,Baja
285.400024,101190.0,89.0,5.300003,2.800003,223.0,4.2,4.9,7.69,5.16,1011.7,13.0,13.4,Baja
285.900024,101050.0,85.0,3.0,3.900009,206.0,3.1,3.8,7.69,5.23,1011.2,13.2,13.8,Baja
286.299988,100830.0,86.0,1.0,2.400009,127.0,1.6,2.0,7.14,5.84,1009.5,13.0,13.8,Baja
286.0,100740.0,91.0,1.699997,-1.399994,13.0,2.8,3.4,8.33,5.83,1008.4,13.0,13.7,Baja
286.0,100680.0,90.0,2.699997,-2.099991,25.0,2.3,2.8,8.33,6.4,1008.0,13.2,13.7,Baja
286.200012,100810.0,84.0,2.100006,-2.199997,348.0,1.0,1.5,8.33,6.22,1008.6,13.8,14.9,Baja
286.600006,100840.0,81.0,2.100006,-1.899994,331.0,4.8,5.6,7.69,5.94,1008.8,13.2,14.0,Baja
286.400024,100840.0,86.0,2.600006,-3.099991,352.0,3.5,4.3,7.69,5.84,1008.6,13.6,13.9,Baja
286.400024,100880.0,86.0,4.800003,-2.199997,320.0,4.8,5.5,7.69,5.64,1008.9,13.8,13.9,Baja
287.0,100990.0,83.0,7.0,0.5,286.0,5.6,6.6,7.14,5.01,1009.8,13.9,14.0,Baja
286.5,101100.0,84.0,5.900009,2.699997,254.0,5.1,5.9,7.69,4.89,1010.8,13.7,14.0,Baja
285.799988,101200.0,89.0,5.100006,4.0,246.0,4.1,5.0,7.69,4.95,1012.1,13.6,13.9,Baja
286.400024,101420.0,83.0,1.100006,3.5,204.0,3.3,3.7,7.14,5.24,1014.1,13.8,13.9,Baja
287.100006,101500.0,78.0,-0.399994,2.600006,155.0,2.0,2.8,6.25,5.4,1015.6,14.5,14.6,Baja
287.100006,101470.0,76.0,-0.300003,0.5,87.0,2.1,2.5,6.25,5.72,1015.7,14.5,14.7,Baja
286.5,101370.0,84.0,1.600006,-1.099991,31.0,5.1,5.9,7.14,5.47,1015.0,14.1,14.2,Baja
287.100006,101410.0,85.0,2.400009,-2.399994,4.0,5.2,6.1,7.14,4.07,1015.1,14.2,14.2,Baja
287.200012,101420.0,88.0,4.400009,-2.099991,332.0,6.6,7.5,3.7,3.7,1013.8,14.5,14.4,Baja
287.0,101340.0,88.0,5.600006,-1.800003,318.0,6.3,7.3,4.55,4.08,1012.9,14.1,14.4,Baja
286.5,101270.0,93.0,5.600006,0.900009,272.0,4.7,5.9,4.76,3.84,1011.9,13.6,14.4,Baja
287.0,101260.0,88.0,4.199997,4.100006,194.0,4.5,5.2,16.0,4.78,1011.5,14.1,14.3,Baja
287.299988,101370.0,81.0,5.300003,5.800003,241.0,9.0,10.8,3.23,3.38,1011.8,13.6,14.5,Baja
286.100006,101480.0,80.0,0.5,6.100006,217.0,9.8,11.2,5.26,4.19,1014.1,13.1,14.2,Baja
285.700012,101520.0,89.0,-2.0,6.199997,181.0,4.6,5.4,5.56,4.19,1016.0,12.7,14.1,Baja
285.900024,101680.0,89.0,-5.199997,7.600006,152.0,7.1,8.6,4.55,4.4,1018.0,12.6,14.1,Baja
286.900024,101880.0,86.0,-7.0,6.600006,120.0,8.2,9.7,6.25,4.57,1019.9,13.9,14.2,Media
287.299988,102060.0,88.0,-7.800003,5.199997,119.0,8.1,9.9,4.76,4.69,1021.7,14.5,14.1,Media
287.0,102230.0,90.0,-8.699997,4.600006,109.0,7.7,8.8,6.25,4.94,1023.4,14.5,14.1,Baja
288.100006,102350.0,82.0,-8.800003,1.699997,111.0,6.9,8.1,6.25,4.63,1024.6,14.7,14.1,Baja
287.600006,102390.0,85.0,-8.099991,2.199997,102.0,6.4,7.7,6.25,4.83,1024.9,14.7,14.2,Baja
287.400024,102380.0,87.0,-7.199997,2.600006,108.0,6.2,7.2,6.67,4.57,1025.0,14.5,14.3,Baja
287.299988,102300.0,86.0,-8.300003,1.100006,110.0,5.7,6.8,6.25,4.8,1024.2,14.4,14.2,Baja
288.100006,102180.0,86.0,-9.099991,2.0,105.0,7.6,8.8,6.67,4.51,1023.6,14.7,14.3,Media
288.299988,102090.0,87.0,-8.300003,5.300003,111.0,8.3,9.4,6.67,4.7,1022.4,13.7,14.2,Media
287.700012,102020.0,91.0,-7.300003,3.199997,117.0,7.0,8.3,7.69,5.24,1020.9,14.1,14.3,Baja
287.5,101790.0,92.0,-9.199997,1.199997,103.0,7.2,8.2,7.14,4.49,1018.6,14.5,14.2,Media
288.400024,101460.0,90.0,-8.899994,5.0,93.0,11.0,12.9,5.56,4.59,1015.5,14.5,14.3,Media
287.900024,101400.0,92.0,-3.699997,8.400009,136.0,8.2,9.5,6.25,4.78,1013.1,14.6,14.1,Baja
287.0,101500.0,95.0,1.800003,8.699997,221.0,7.0,8.5,6.67,5.03,1014.6,13.6,14.2,Baja
287.0,101610.0,90.0,0.0,5.800003,156.0,5.7,6.7,6.25,4.66,1016.0,14.1,14.2,Baja
287.5,101510.0,87.0,-3.399994,4.600006,146.0,6.4,7.4,6.25,4.54,1015.8,14.0,14.1,Baja
286.900024,101110.0,95.0,-10.800003,2.600006,124.0,6.8,8.1,6.25,4.58,1013.7,13.7,14.2,Media
287.299988,100450.0,97.0,-6.899994,1.600006,106.0,10.0,12.0,5.56,4.6,1007.9,13.9,14.1,Media
287.0,100380.0,98.0,4.0,9.800003,106.0,1.2,2.4,8.33,5.17,1001.3,14.2,14.1,Media
286.900024,100700.0,88.0,4.100006,14.699997,192.0,10.5,13.1,8.33,5.5,1006.0,14.2,14.2,Media
287.100006,100870.0,90.0,2.5,12.0,155.0,8.3,10.8,8.33,5.79,1008.0,14.0,14.2,Media
287.400024,101030.0,85.0,5.699997,8.199997,195.0,7.0,8.7,8.33,5.81,1008.7,14.1,14.2,Media
286.600006,101210.0,91.0,7.699997,5.800003,260.0,2.8,3.5,9.09,6.12,1010.0,13.7,14.2,Media
287.0,101430.0,82.0,8.300003,3.199997,235.0,4.8,5.7,8.33,6.38,1012.6,13.9,14.2,Media
287.299988,101690.0,82.0,6.900009,5.5,236.0,6.7,7.7,9.09,5.91,1015.4,14.3,14.4,Baja
286.799988,101710.0,87.0,6.199997,7.5,211.0,7.0,8.3,8.33,5.12,1016.6,14.0,14.5,Media
286.400024,101790.0,88.0,6.800003,7.100006,203.0,8.4,9.6,6.67,4.99,1017.2,14.0,14.5,Media
286.400024,101820.0,86.0,5.800003,6.400009,202.0,6.6,7.7,6.67,5.09,1017.5,13.5,14.4,Media
287.0,101780.0,84.0,3.900009,5.600006,188.0,7.6,9.1,6.67,4.7,1017.6,14.0,14.4,Baja
286.200012,101560.0,95.0,4.0,3.300003,170.0,6.4,7.3,6.67,4.6,1016.1,13.7,14.5,Baja
286.600006,101490.0,91.0,3.900009,1.400009,182.0,4.2,5.2,6.67,5.12,1014.9,13.1,14.3,Baja
286.5,101410.0,94.0,4.0,1.800003,181.0,4.3,4.9,6.25,4.9,1013.7,13.9,14.7,Baja
286.0,101380.0,96.0,1.699997,6.0,177.0,4.8,5.3,12.12,4.91,1013.2,14.4,14.6,Baja
286.299988,101100.0,97.0,0.199997,9.5,169.0,7.5,9.0,11.43,4.02,1011.0,14.2,14.8,Baja
286.5,100880.0,98.0,-1.800003,11.300003,163.0,9.1,10.7,5.26,4.22,1008.3,13.9,14.4,Media
286.400024,100570.0,99.0,-2.0,11.600006,171.0,10.3,12.2,5.88,4.8,1005.4,14.1,14.4,Moderada
287.200012,100360.0,93.0,-3.300003,13.900009,151.0,11.8,14.3,7.69,5.55,1003.4,14.1,14.4,Moderada
286.799988,100110.0,98.0,-3.699997,11.900009,161.0,10.6,13.0,8.33,6.48,1001.3,14.2,14.3,Moderada
287.0,99870.0,99.0,-3.599991,8.100006,140.0,9.1,10.8,8.33,6.56,999.8,14.2,14.3,Moderada
287.200012,99960.0,97.0,3.400009,5.900009,183.0,5.4,6.6,8.33,6.2,998.9,13.6,14.3,Media
287.200012,100150.0,98.0,1.199997,6.800003,169.0,6.5,8.0,9.09,6.58,1001.1,14.6,14.5,Media
287.200012,100100.0,99.0,-3.599991,6.400009,151.0,6.7,7.9,7.69,6.16,1001.8,14.3,14.5,Media
287.299988,99940.0,99.0,-3.800003,5.900009,114.0,6.6,8.0,7.69,6.04,1000.3,14.5,14.5,Media
288.0,99950.0,94.0,1.100006,10.400009,147.0,8.5,10.1,7.69,5.81,998.7,14.7,14.5,Media
287.5,100440.0,91.0,5.199997,13.100006,197.0,9.5,11.9,8.33,5.43,1002.7,14.9,14.6,Moderada
287.299988,100750.0,89.0,-0.399994,10.5,159.0,7.7,9.3,9.09,5.95,1006.6,14.9,14.6,Media
