@relation 'train-weka.filters.unsupervised.attribute.Remove-R11,16-17-weka.filters.unsupervised.attribute.Remove-R14-weka.filters.unsupervised.attribute.MathExpression-EA*100-V-R11-weka.filters.unsupervised.attribute.MathExpression-EA-273.15-V-R1-weka.filters.unsupervised.attribute.MathExpression-E(A-MIN)/(MAX-MIN)-V-R1-weka.filters.unsupervised.attribute.MathExpression-E(A-MIN)/(MAX-MIN)-V-R2-weka.filters.unsupervised.attribute.MathExpression-E(A-MIN)/(MAX-MIN)-V-R3-weka.filters.unsupervised.attribute.MathExpression-E(A-MIN)/(MAX-MIN)-V-R4-weka.filters.unsupervised.attribute.MathExpression-E(A-MIN)/(MAX-MIN)-V-R5-weka.filters.unsupervised.attribute.MathExpression-E(A-MIN)/(MAX-MIN)-V-R6-weka.filters.unsupervised.attribute.MathExpression-E(A-MIN)/(MAX-MIN)-V-R7-weka.filters.unsupervised.attribute.MathExpression-E(A-MIN)/(MAX-MIN)-V-R8-weka.filters.unsupervised.attribute.MathExpression-E(A-MIN)/(MAX-MIN)-V-R9-weka.filters.unsupervised.attribute.MathExpression-E(A-MIN)/(MAX-MIN)-V-R10-weka.filters.unsupervised.attribute.MathExpression-E(A-MIN)/(MAX-MIN)-V-R11-weka.filters.unsupervised.attribute.MathExpression-E(A-MIN)/(MAX-MIN)-V-R12-weka.filters.unsupervised.attribute.MathExpression-E(A-MIN)/(MAX-MIN)-V-R13-weka.filters.unsupervised.attribute.Remove-R3-weka.filters.unsupervised.attribute.Remove-R6-weka.filters.unsupervised.attribute.Remove-R1-2,5'

@attribute uwnd numeric
@attribute vwnd numeric
@attribute GST numeric
@attribute APD numeric
@attribute PRES numeric
@attribute ATMP numeric
@attribute Class_WVHT {0,1,2,3}

@data
0.651911,0.528205,0.2607,0.170404,0.677987,0.832335,0
0.597586,0.530769,0.175097,0.257822,0.665409,0.832335,0
0.551308,0.558975,0.132296,0.266583,0.659119,0.844311,0
0.511066,0.520513,0.062257,0.342929,0.637736,0.832335,0
0.525151,0.423077,0.116732,0.341677,0.623899,0.832335,0
0.545272,0.405128,0.093385,0.413016,0.618868,0.844311,0
0.533199,0.402564,0.042802,0.390488,0.626415,0.88024,0
0.533199,0.410257,0.202335,0.355444,0.628931,0.844311,0
0.54326,0.379487,0.151751,0.342929,0.626415,0.868263,0
0.587525,0.402564,0.198444,0.317897,0.630189,0.88024,0
0.631791,0.471795,0.241245,0.239049,0.641509,0.886228,0
0.609658,0.528205,0.214008,0.22403,0.654088,0.874251,0
0.593561,0.561538,0.178988,0.231539,0.67044,0.868263,0
0.513079,0.548718,0.128405,0.267835,0.695597,0.88024,0
0.482897,0.525641,0.093385,0.28786,0.714465,0.922156,0
0.484909,0.471795,0.081712,0.32791,0.715723,0.922156,0
0.523139,0.430769,0.214008,0.296621,0.706918,0.898204,0
0.539236,0.397436,0.22179,0.121402,0.708176,0.904192,0
0.579477,0.405128,0.276265,0.075094,0.691824,0.922156,0
0.603622,0.41282,0.268482,0.122653,0.680503,0.898204,0
0.603622,0.482051,0.214008,0.092616,0.667925,0.868263,0
0.575453,0.564103,0.18677,0.210263,0.662893,0.898204,0
0.597586,0.607692,0.404669,0.035044,0.666667,0.868263,0
0.501006,0.615385,0.420233,0.136421,0.695597,0.838323,0
0.450704,0.617949,0.194553,0.136421,0.719497,0.814371,0
0.386318,0.653846,0.319066,0.162703,0.744654,0.808383,0
0.350101,0.628205,0.361868,0.18398,0.768553,0.886228,1
0.334004,0.592308,0.36965,0.198999,0.791195,0.922156,1
0.315895,0.576923,0.326848,0.230288,0.812579,0.922156,0
0.313883,0.502564,0.299611,0.191489,0.827673,0.934132,0
0.327968,0.515385,0.284047,0.216521,0.831447,0.934132,0
0.346076,0.525641,0.264591,0.18398,0.832704,0.922156,0
0.323944,0.48718,0.249027,0.212766,0.822642,0.916168,0
0.307847,0.510256,0.326848,0.176471,0.815094,0.934132,1
0.323944,0.594872,0.350195,0.20025,0.8,0.874251,1
0.344064,0.541026,0.307393,0.267835,0.781132,0.898204,0
0.305835,0.489743,0.303502,0.173967,0.752201,0.922156,1
0.311871,0.587179,0.486381,0.186483,0.713208,0.922156,1
0.416499,0.674359,0.354086,0.210263,0.683019,0.928144,0
0.527163,0.682051,0.315175,0.241552,0.701887,0.868263,0
0.490946,0.607692,0.245136,0.195244,0.719497,0.898204,0
0.422535,0.576923,0.272374,0.180225,0.716981,0.892216,0
0.273642,0.525641,0.299611,0.185232,0.690566,0.874251,1
0.352113,0.5,0.451362,0.187735,0.61761,0.886228,1
0.571429,0.710256,0.077821,0.259074,0.534591,0.904192,1
0.573441,0.835897,0.494163,0.300375,0.593711,0.904192,1
0.541247,0.766667,0.404669,0.336671,0.618868,0.892216,1
0.605634,0.669231,0.322957,0.339174,0.627673,0.898204,1
0.645875,0.607692,0.120623,0.377972,0.644025,0.874251,1
0.657948,0.541026,0.206226,0.410513,0.67673,0.886228,1
0.629779,0.6,0.284047,0.35169,0.71195,0.91018,0
0.615694,0.651282,0.307393,0.252816,0.727044,0.892216,1
0.627767,0.641026,0.357977,0.236546,0.734591,0.892216,1
0.607646,0.623077,0.284047,0.249061,0.738365,0.862275,1
0.569417,0.602564,0.338521,0.20025,0.739623,0.892216,0
0.571429,0.54359,0.268482,0.187735,0.720755,0.874251,0
0.569417,0.494872,0.18677,0.252816,0.70566,0.838323,0
0.571429,0.505128,0.175097,0.225282,0.690566,0.886228,0
0.525151,0.61282,0.190661,0.226533,0.684277,0.916168,0
0.49497,0.702564,0.33463,0.115144,0.656604,0.904192,0
0.454728,0.748718,0.400778,0.140175,0.622642,0.886228,1
0.450704,0.75641,0.459144,0.212766,0.586164,0.898204,2
0.424547,0.815385,0.540856,0.306633,0.561006,0.898204,2
0.416499,0.764103,0.490272,0.423029,0.534591,0.904192,2
0.418511,0.666667,0.404669,0.433041,0.515723,0.904192,2
0.559356,0.610257,0.241245,0.387985,0.504403,0.868263,1
0.51509,0.633333,0.29572,0.435544,0.532075,0.928144,1
0.418511,0.623077,0.291829,0.382979,0.540881,0.91018,1
0.414487,0.610257,0.29572,0.36796,0.522013,0.922156,1
0.513079,0.725641,0.377432,0.339174,0.501887,0.934132,1
0.595573,0.794872,0.447471,0.291615,0.552201,0.946108,2
0.482897,0.728205,0.346304,0.356696,0.601258,0.946108,1
0.448692,0.7,0.326848,0.340426,0.623899,0.928144,1
0.482897,0.638462,0.276265,0.377972,0.63522,0.928144,1
0.529175,0.61282,0.2607,0.397997,0.633962,0.934132,1
0.605634,0.589744,0.245136,0.436796,0.644025,0.922156,1
0.478873,0.633333,0.22179,0.370463,0.649057,0.94012,1
0.484909,0.725641,0.268482,0.352941,0.655346,0.934132,1
0.428572,0.720513,0.459144,0.251564,0.637736,0.916168,1
0.513079,0.74359,0.381323,0.300375,0.616352,0.91018,1
0.549296,0.712821,0.357977,0.289111,0.597484,0.922156,1
0.549296,0.702564,0.40856,0.277847,0.608805,0.934132,1
0.484909,0.694872,0.311284,0.324155,0.626415,0.928144,1
0.428572,0.728205,0.400778,0.282854,0.608805,0.934132,2
0.547284,0.715385,0.498054,0.346683,0.594969,0.928144,1
0.482897,0.538462,0.175097,0.439299,0.613836,0.886228,1
0.509054,0.553846,0.038911,0.48811,0.602516,0.826347,1
0.623743,0.569231,0.268482,0.438048,0.610063,0.904192,1
0.61167,0.582051,0.284047,0.361702,0.632704,0.916168,1
0.585513,0.638462,0.342412,0.394243,0.662893,0.886228,1
0.545272,0.641026,0.268482,0.346683,0.691824,0.934132,1
0.511066,0.648718,0.264591,0.377972,0.715723,0.922156,1
0.452716,0.776923,0.420233,0.296621,0.699371,0.922156,2
0.490946,0.825641,0.607004,0.285357,0.661635,0.892216,2
0.567404,0.776923,0.431907,0.43179,0.649057,0.94012,2
0.539236,0.758974,0.392996,0.446809,0.626415,0.934132,2
0.668008,0.812821,0.533074,0.356696,0.58239,0.946108,2
0.736418,0.664103,0.548638,0.434293,0.598742,0.916168,2
0.684105,0.564103,0.400778,0.390488,0.657862,0.922156,2
0.684105,0.525641,0.330739,0.470588,0.696855,0.922156,1
0.676056,0.535897,0.311284,0.423029,0.72327,0.922156,1
0.6499,0.48718,0.291829,0.364205,0.739623,0.898204,1
0.668008,0.476923,0.287938,0.372966,0.761006,0.916168,1
0.637827,0.469231,0.175097,0.347935,0.754717,0.904192,1
0.599598,0.5,0.233463,0.341677,0.752201,0.904192,0
0.55332,0.494872,0.18677,0.290363,0.743396,0.886228,0
0.490946,0.494872,0.085603,0.272841,0.744654,0.904192,0
0.384306,0.484615,0.077821,0.46433,0.720755,0.892216,0
0.392354,0.425641,0.194553,0.439299,0.716981,0.892216,0
0.380282,0.346154,0.190661,0.232791,0.725786,0.904192,0
0.404426,0.297436,0.182879,0.292866,0.749686,0.916168,0
0.474849,0.274359,0.155642,0.320401,0.768553,0.916168,0
0.535211,0.320513,0.132296,0.345432,0.798742,0.916168,0
0.561368,0.341026,0.120623,0.270338,0.822642,0.916168,0
0.541247,0.402564,0.128405,0.35169,0.844025,0.94012,0
0.555332,0.484615,0.128405,0.389237,0.841509,0.922156,0
0.535211,0.494872,0.159533,0.36796,0.840252,0.904192,0
0.464789,0.576923,0.089494,0.450563,0.822642,0.886228,0
0.414487,0.548718,0.116732,0.135169,0.815094,0.88024,0
0.452716,0.392308,0.210117,0.102628,0.802516,0.868263,0
0.555332,0.341026,0.202335,0.274093,0.816352,0.898204,0
0.486922,0.379487,0.050584,0.289111,0.827673,0.916168,0
0.426559,0.576923,0.108949,0.359199,0.822642,0.922156,0
0.45674,0.738462,0.36965,0.12015,0.772327,0.88024,1
0.581489,0.741026,0.233463,0.217772,0.693082,0.928144,1
0.668008,0.641026,0.342412,0.188986,0.644025,0.928144,0
0.738431,0.579487,0.252918,0.244055,0.638994,0.922156,1
0.726358,0.479487,0.311284,0.301627,0.665409,0.94012,1
0.688129,0.433333,0.272374,0.259074,0.689308,0.916168,1
0.641851,0.525641,0.299611,0.332916,0.696855,0.91018,1
0.661972,0.605128,0.299611,0.249061,0.68805,0.916168,1
0.702213,0.648718,0.424125,0.310388,0.674214,0.886228,1
0.72837,0.587179,0.420233,0.292866,0.666667,0.91018,1
0.706237,0.505128,0.342412,0.381727,0.691824,0.91018,1
0.702213,0.497436,0.280156,0.352941,0.718239,0.928144,1
0.653924,0.484615,0.241245,0.405507,0.734591,0.91018,1
0.629779,0.497436,0.249027,0.435544,0.737107,0.898204,1
0.653924,0.512821,0.256809,0.392991,0.745912,0.862275,0
0.595573,0.628205,0.284047,0.341677,0.735849,0.922156,0
0.577465,0.730769,0.33463,0.275344,0.698113,0.916168,1
0.527163,0.761538,0.513619,0.229036,0.630189,0.868263,1
0.54326,0.707692,0.365759,0.307885,0.569811,0.88024,1
0.573441,0.587179,0.307393,0.356696,0.532075,0.91018,2
0.625754,0.438461,0.015564,0.473091,0.518239,0.88024,1
0.676056,0.402564,0.202335,0.503129,0.506918,0.868263,1
0.680081,0.315385,0.311284,0.429287,0.518239,0.892216,1
0.702213,0.341026,0.322957,0.396746,0.52956,0.904192,1
0.716298,0.382051,0.439689,0.314143,0.56478,0.916168,1
0.72837,0.433333,0.385214,0.317897,0.579874,0.904192,1
0.668008,0.541026,0.361868,0.285357,0.589937,0.898204,1
0.617706,0.605128,0.365759,0.274093,0.58239,0.88024,1
