@relation 'train-weka.filters.unsupervised.attribute.Remove-R11,16-17-weka.filters.unsupervised.attribute.Remove-R14-weka.filters.unsupervised.attribute.MathExpression-EA*100-V-R11-weka.filters.unsupervised.attribute.MathExpression-EA-273.15-V-R1-weka.filters.unsupervised.attribute.MathExpression-E(A-MIN)/(MAX-MIN)-V-R1-weka.filters.unsupervised.attribute.MathExpression-E(A-MIN)/(MAX-MIN)-V-R2-weka.filters.unsupervised.attribute.MathExpression-E(A-MIN)/(MAX-MIN)-V-R3-weka.filters.unsupervised.attribute.MathExpression-E(A-MIN)/(MAX-MIN)-V-R4-weka.filters.unsupervised.attribute.MathExpression-E(A-MIN)/(MAX-MIN)-V-R5-weka.filters.unsupervised.attribute.MathExpression-E(A-MIN)/(MAX-MIN)-V-R6-weka.filters.unsupervised.attribute.MathExpression-E(A-MIN)/(MAX-MIN)-V-R7-weka.filters.unsupervised.attribute.MathExpression-E(A-MIN)/(MAX-MIN)-V-R8-weka.filters.unsupervised.attribute.MathExpression-E(A-MIN)/(MAX-MIN)-V-R9-weka.filters.unsupervised.attribute.MathExpression-E(A-MIN)/(MAX-MIN)-V-R10-weka.filters.unsupervised.attribute.MathExpression-E(A-MIN)/(MAX-MIN)-V-R11-weka.filters.unsupervised.attribute.MathExpression-E(A-MIN)/(MAX-MIN)-V-R12-weka.filters.unsupervised.attribute.MathExpression-E(A-MIN)/(MAX-MIN)-V-R13-weka.filters.unsupervised.attribute.Remove-R3-weka.filters.unsupervised.attribute.Remove-R6-weka.filters.unsupervised.attribute.Remove-R1,5,8'

@attribute pres numeric
@attribute uwnd numeric
@attribute vwnd numeric
@attribute GST numeric
@attribute APD numeric
@attribute ATMP numeric
@attribute Class_WVHT {0,1,2,3}

@data
0.676884,0.651911,0.528205,0.2607,0.170404,0.832335,0
0.660281,0.597586,0.530769,0.175097,0.257822,0.832335,0
0.642401,0.551308,0.558975,0.132296,0.266583,0.844311,0
0.614304,0.511066,0.520513,0.062257,0.342929,0.832335,0
0.60281,0.525151,0.423077,0.116732,0.341677,0.832335,0
0.595147,0.545272,0.405128,0.093385,0.413016,0.844311,0
0.61175,0.533199,0.402564,0.042802,0.390488,0.88024,0
0.615581,0.533199,0.410257,0.202335,0.355444,0.844311,0
0.615581,0.54326,0.379487,0.151751,0.342929,0.868263,0
0.62069,0.587525,0.402564,0.198444,0.317897,0.88024,0
0.634738,0.631791,0.471795,0.241245,0.239049,0.886228,0
0.648787,0.609658,0.528205,0.214008,0.22403,0.874251,0
0.661558,0.593561,0.561538,0.178988,0.231539,0.868263,0
0.689655,0.513079,0.548718,0.128405,0.267835,0.88024,0
0.699872,0.482897,0.525641,0.093385,0.28786,0.922156,0
0.696041,0.484909,0.471795,0.081712,0.32791,0.922156,0
0.683269,0.523139,0.430769,0.214008,0.296621,0.898204,0
0.688378,0.539236,0.397436,0.22179,0.121402,0.904192,0
0.689655,0.579477,0.405128,0.276265,0.075094,0.922156,0
0.679438,0.603622,0.41282,0.268482,0.122653,0.898204,0
0.670498,0.603622,0.482051,0.214008,0.092616,0.868263,0
0.669221,0.575453,0.564103,0.18677,0.210263,0.898204,0
0.683269,0.597586,0.607692,0.404669,0.035044,0.868263,0
0.697318,0.501006,0.615385,0.420233,0.136421,0.838323,0
0.702427,0.450704,0.617949,0.194553,0.136421,0.814371,0
0.722861,0.386318,0.653846,0.319066,0.162703,0.808383,0
0.748404,0.350101,0.628205,0.361868,0.18398,0.886228,1
