@relation 'train-weka.filters.unsupervised.attribute.Remove-R11,16-17-weka.filters.unsupervised.attribute.Remove-R14-weka.filters.unsupervised.attribute.MathExpression-EA*100-V-R11-weka.filters.unsupervised.attribute.MathExpression-EA-273.15-V-R1-weka.filters.unsupervised.attribute.MathExpression-E(A-MIN)/(MAX-MIN)-V-R1-weka.filters.unsupervised.attribute.MathExpression-E(A-MIN)/(MAX-MIN)-V-R2-weka.filters.unsupervised.attribute.MathExpression-E(A-MIN)/(MAX-MIN)-V-R3-weka.filters.unsupervised.attribute.MathExpression-E(A-MIN)/(MAX-MIN)-V-R4-weka.filters.unsupervised.attribute.MathExpression-E(A-MIN)/(MAX-MIN)-V-R5-weka.filters.unsupervised.attribute.MathExpression-E(A-MIN)/(MAX-MIN)-V-R6-weka.filters.unsupervised.attribute.MathExpression-E(A-MIN)/(MAX-MIN)-V-R7-weka.filters.unsupervised.attribute.MathExpression-E(A-MIN)/(MAX-MIN)-V-R8-weka.filters.unsupervised.attribute.MathExpression-E(A-MIN)/(MAX-MIN)-V-R9-weka.filters.unsupervised.attribute.MathExpression-E(A-MIN)/(MAX-MIN)-V-R10-weka.filters.unsupervised.attribute.MathExpression-E(A-MIN)/(MAX-MIN)-V-R11-weka.filters.unsupervised.attribute.MathExpression-E(A-MIN)/(MAX-MIN)-V-R12-weka.filters.unsupervised.attribute.MathExpression-E(A-MIN)/(MAX-MIN)-V-R13-weka.filters.unsupervised.attribute.Remove-R3-weka.filters.unsupervised.attribute.Remove-R6-weka.filters.unsupervised.attribute.Remove-R2-3,9'

@attribute air numeric
@attribute vwnd numeric
@attribute WDIR numeric
@attribute GST numeric
@attribute APD numeric
@attribute PRES numeric
@attribute Class_WVHT {0,1,2,3}

@data
0.766466,0.528205,0.713092,0.2607,0.170404,0.677987,0
0.772456,0.530769,0.62117,0.175097,0.257822,0.665409,0
0.802396,0.558975,0.573816,0.132296,0.266583,0.659119,0
0.826346,0.520513,0.35376,0.062257,0.342929,0.637736,0
0.808383,0.423077,0.036212,0.116732,0.341677,0.623899,0
0.808383,0.405128,0.069638,0.093385,0.413016,0.618868,0
0.82036,0.402564,0.969359,0.042802,0.390488,0.626415,0
0.844311,0.410257,0.922006,0.202335,0.355444,0.628931,0
0.832336,0.379487,0.980501,0.151751,0.342929,0.626415,0
0.832336,0.402564,0.891365,0.198444,0.317897,0.630189,0
0.868263,0.471795,0.796657,0.241245,0.239049,0.641509,0
0.838323,0.528205,0.707521,0.214008,0.22403,0.654088,0
0.796406,0.561538,0.685237,0.178988,0.231539,0.67044,0
0.832336,0.548718,0.568245,0.128405,0.267835,0.695597,0
0.874251,0.525641,0.431755,0.093385,0.28786,0.714465,0
0.874251,0.471795,0.24234,0.081712,0.32791,0.715723,0
0.838323,0.430769,0.086351,0.214008,0.296621,0.706918,0
0.874251,0.397436,0.011142,0.22179,0.121402,0.708176,0
0.88024,0.405128,0.924791,0.276265,0.075094,0.691824,0
0.868263,0.41282,0.885794,0.268482,0.122653,0.680503,0
0.838323,0.482051,0.75766,0.214008,0.092616,0.667925,0
0.868263,0.564103,0.54039,0.18677,0.210263,0.662893,0
0.886226,0.607692,0.671309,0.404669,0.035044,0.666667,0
0.814371,0.615385,0.604457,0.420233,0.136421,0.695597,0
0.79042,0.617949,0.504178,0.194553,0.136421,0.719497,0
0.802396,0.653846,0.423398,0.319066,0.162703,0.744654,0
0.862277,0.628205,0.334262,0.361868,0.18398,0.768553,1
0.886226,0.592308,0.331476,0.36965,0.198999,0.791195,1
0.868263,0.576923,0.303621,0.326848,0.230288,0.812579,0
0.934132,0.502564,0.309192,0.299611,0.191489,0.827673,0
0.904192,0.515385,0.284123,0.284047,0.216521,0.831447,0
0.892217,0.525641,0.300836,0.264591,0.18398,0.832704,0
0.886226,0.48718,0.306407,0.249027,0.212766,0.822642,0
0.934132,0.510256,0.292479,0.326848,0.176471,0.815094,1
0.946106,0.594872,0.309192,0.350195,0.20025,0.8,1
0.91018,0.541026,0.325905,0.307393,0.267835,0.781132,0
0.898203,0.489743,0.286908,0.303502,0.173967,0.752201,1
0.952097,0.587179,0.259053,0.486381,0.186483,0.713208,1
0.922157,0.674359,0.37883,0.354086,0.210263,0.683019,0
0.868263,0.682051,0.615599,0.315175,0.241552,0.701887,0
0.868263,0.607692,0.43454,0.245136,0.195244,0.719497,0
0.898203,0.576923,0.406685,0.272374,0.180225,0.716981,0
0.862277,0.525641,0.345404,0.299611,0.185232,0.690566,1
0.886226,0.5,0.295265,0.451362,0.187735,0.61761,1
0.868263,0.710256,0.295265,0.077821,0.259074,0.534591,1
0.862277,0.835897,0.534819,0.494163,0.300375,0.593711,1
0.874251,0.766667,0.431755,0.404669,0.336671,0.618868,1
0.892217,0.669231,0.543175,0.322957,0.339174,0.627673,1
0.844311,0.607692,0.724234,0.120623,0.377972,0.644025,1
0.868263,0.541026,0.654596,0.206226,0.410513,0.67673,1
0.886226,0.6,0.657382,0.284047,0.35169,0.71195,0
0.856286,0.651282,0.587744,0.307393,0.252816,0.727044,1
0.832336,0.641026,0.56546,0.357977,0.236546,0.734591,1
0.832336,0.623077,0.562674,0.284047,0.249061,0.738365,1
0.868263,0.602564,0.523677,0.338521,0.20025,0.739623,0
0.82036,0.54359,0.473538,0.268482,0.187735,0.720755,0
0.844311,0.494872,0.506964,0.18677,0.252816,0.70566,0
0.838323,0.505128,0.504178,0.175097,0.225282,0.690566,0
0.808383,0.61282,0.493036,0.190661,0.226533,0.684277,0
0.826346,0.702564,0.470752,0.33463,0.115144,0.656604,0
0.838323,0.748718,0.454039,0.400778,0.140175,0.622642,1
0.832336,0.75641,0.476323,0.459144,0.212766,0.586164,2
0.88024,0.815385,0.420613,0.540856,0.306633,0.561006,2
0.856286,0.764103,0.448468,0.490272,0.423029,0.534591,2
0.868263,0.666667,0.389972,0.404669,0.433041,0.515723,2
0.88024,0.610257,0.509749,0.241245,0.387985,0.504403,1
0.88024,0.633333,0.470752,0.29572,0.435544,0.532075,1
0.88024,0.623077,0.420613,0.291829,0.382979,0.540881,1
0.886226,0.610257,0.317549,0.29572,0.36796,0.522013,1
0.928143,0.725641,0.409471,0.377432,0.339174,0.501887,1
0.898203,0.794872,0.548747,0.447471,0.291615,0.552201,2
0.886226,0.728205,0.442897,0.346304,0.356696,0.601258,1
0.88024,0.7,0.442897,0.326848,0.340426,0.623899,1
0.88024,0.638462,0.428969,0.276265,0.377972,0.63522,1
0.856286,0.61282,0.495822,0.2607,0.397997,0.633962,1
0.8503,0.589744,0.518106,0.245136,0.436796,0.644025,1
0.874251,0.633333,0.520891,0.22179,0.370463,0.649057,1
0.892217,0.725641,0.437326,0.268482,0.352941,0.655346,1
0.91018,0.720513,0.431755,0.459144,0.251564,0.637736,1
0.868263,0.74359,0.512535,0.381323,0.300375,0.616352,1
0.886226,0.712821,0.493036,0.357977,0.289111,0.597484,1
0.922157,0.702564,0.520891,0.40856,0.277847,0.608805,1
0.904192,0.694872,0.473538,0.311284,0.324155,0.626415,1
0.91018,0.728205,0.423398,0.400778,0.282854,0.608805,2
0.862277,0.715385,0.532033,0.498054,0.346683,0.594969,1
0.904192,0.538462,0.582173,0.175097,0.439299,0.613836,1
0.898203,0.553846,0.635097,0.038911,0.48811,0.602516,1
