@relation 'train-weka.filters.unsupervised.attribute.Remove-R11,16-17-weka.filters.unsupervised.attribute.Remove-R14-weka.filters.unsupervised.attribute.MathExpression-EA*100-V-R11-weka.filters.unsupervised.attribute.MathExpression-EA-273.15-V-R1-weka.filters.unsupervised.attribute.MathExpression-E(A-MIN)/(MAX-MIN)-V-R1-weka.filters.unsupervised.attribute.MathExpression-E(A-MIN)/(MAX-MIN)-V-R2-weka.filters.unsupervised.attribute.MathExpression-E(A-MIN)/(MAX-MIN)-V-R3-weka.filters.unsupervised.attribute.MathExpression-E(A-MIN)/(MAX-MIN)-V-R4-weka.filters.unsupervised.attribute.MathExpression-E(A-MIN)/(MAX-MIN)-V-R5-weka.filters.unsupervised.attribute.MathExpression-E(A-MIN)/(MAX-MIN)-V-R6-weka.filters.unsupervised.attribute.MathExpression-E(A-MIN)/(MAX-MIN)-V-R7-weka.filters.unsupervised.attribute.MathExpression-E(A-MIN)/(MAX-MIN)-V-R8-weka.filters.unsupervised.attribute.MathExpression-E(A-MIN)/(MAX-MIN)-V-R9-weka.filters.unsupervised.attribute.MathExpression-E(A-MIN)/(MAX-MIN)-V-R10-weka.filters.unsupervised.attribute.MathExpression-E(A-MIN)/(MAX-MIN)-V-R11-weka.filters.unsupervised.attribute.MathExpression-E(A-MIN)/(MAX-MIN)-V-R12-weka.filters.unsupervised.attribute.MathExpression-E(A-MIN)/(MAX-MIN)-V-R13-weka.filters.unsupervised.attribute.Remove-R3-weka.filters.unsupervised.attribute.Remove-R6-weka.filters.unsupervised.attribute.Remove-R7'

@attribute air numeric
@attribute pres numeric
@attribute vwnd numeric
@attribute WDIR numeric
@attribute GST numeric
@attribute APD numeric
@attribute Class_WVHT {0,1,2,3}

@data
0.766466,0.676884,0.528205,0.713092,0.2607,0.170404,0
0.772456,0.660281,0.530769,0.62117,0.175097,0.257822,0
0.802396,0.642401,0.558975,0.573816,0.132296,0.266583,0
0.826346,0.614304,0.520513,0.35376,0.062257,0.342929,0
0.808383,0.60281,0.423077,0.036212,0.116732,0.341677,0
0.808383,0.595147,0.405128,0.069638,0.093385,0.413016,0
0.82036,0.61175,0.402564,0.969359,0.042802,0.390488,0
0.844311,0.615581,0.410257,0.922006,0.202335,0.355444,0
0.832336,0.615581,0.379487,0.980501,0.151751,0.342929,0
0.832336,0.62069,0.402564,0.891365,0.198444,0.317897,0
0.868263,0.634738,0.471795,0.796657,0.241245,0.239049,0
0.838323,0.648787,0.528205,0.707521,0.214008,0.22403,0
0.796406,0.661558,0.561538,0.685237,0.178988,0.231539,0
0.832336,0.689655,0.548718,0.568245,0.128405,0.267835,0
0.874251,0.699872,0.525641,0.431755,0.093385,0.28786,0
0.874251,0.696041,0.471795,0.24234,0.081712,0.32791,0
0.838323,0.683269,0.430769,0.086351,0.214008,0.296621,0
0.874251,0.688378,0.397436,0.011142,0.22179,0.121402,0
0.88024,0.689655,0.405128,0.924791,0.276265,0.075094,0
0.868263,0.679438,0.41282,0.885794,0.268482,0.122653,0
0.838323,0.670498,0.482051,0.75766,0.214008,0.092616,0
0.868263,0.669221,0.564103,0.54039,0.18677,0.210263,0
0.886226,0.683269,0.607692,0.671309,0.404669,0.035044,0
0.814371,0.697318,0.615385,0.604457,0.420233,0.136421,0
0.79042,0.702427,0.617949,0.504178,0.194553,0.136421,0
0.802396,0.722861,0.653846,0.423398,0.319066,0.162703,0
0.862277,0.748404,0.628205,0.334262,0.361868,0.18398,1
0.886226,0.771392,0.592308,0.331476,0.36965,0.198999,1
0.868263,0.793103,0.576923,0.303621,0.326848,0.230288,0
0.934132,0.808429,0.502564,0.309192,0.299611,0.191489,0
0.904192,0.813538,0.515385,0.284123,0.284047,0.216521,0
0.892217,0.812261,0.525641,0.300836,0.264591,0.18398,0
0.886226,0.802043,0.48718,0.306407,0.249027,0.212766,0
0.934132,0.786718,0.510256,0.292479,0.326848,0.176471,1
0.946106,0.775223,0.594872,0.309192,0.350195,0.20025,1
0.91018,0.766284,0.541026,0.325905,0.307393,0.267835,0
0.898203,0.736909,0.489743,0.286908,0.303502,0.173967,1
0.952097,0.694764,0.587179,0.259053,0.486381,0.186483,1
0.922157,0.687101,0.674359,0.37883,0.354086,0.210263,0
0.868263,0.699872,0.682051,0.615599,0.315175,0.241552,0
0.868263,0.713921,0.607692,0.43454,0.245136,0.195244,0
0.898203,0.701149,0.576923,0.406685,0.272374,0.180225,0
0.862277,0.650064,0.525641,0.345404,0.299611,0.185232,1
0.886226,0.565773,0.5,0.295265,0.451362,0.187735,1
0.868263,0.556833,0.710256,0.295265,0.077821,0.259074,1
0.862277,0.597701,0.835897,0.534819,0.494163,0.300375,1
0.874251,0.619413,0.766667,0.431755,0.404669,0.336671,1
0.892217,0.639847,0.669231,0.543175,0.322957,0.339174,1
0.844311,0.662835,0.607692,0.724234,0.120623,0.377972,1
0.868263,0.690932,0.541026,0.654596,0.206226,0.410513,1
0.886226,0.724138,0.6,0.657382,0.284047,0.35169,0
0.856286,0.726692,0.651282,0.587744,0.307393,0.252816,1
0.832336,0.736909,0.641026,0.56546,0.357977,0.236546,1
0.832336,0.740741,0.623077,0.562674,0.284047,0.249061,1
