@relation 'train-weka.filters.unsupervised.attribute.Remove-R11,16-17-weka.filters.unsupervised.attribute.Remove-R14-weka.filters.unsupervised.attribute.MathExpression-EA*100-V-R11-weka.filters.unsupervised.attribute.MathExpression-EA-273.15-V-R1-weka.filters.unsupervised.attribute.MathExpression-E(A-MIN)/(MAX-MIN)-V-R1-weka.filters.unsupervised.attribute.MathExpression-E(A-MIN)/(MAX-MIN)-V-R2-weka.filters.unsupervised.attribute.MathExpression-E(A-MIN)/(MAX-MIN)-V-R3-weka.filters.unsupervised.attribute.MathExpression-E(A-MIN)/(MAX-MIN)-V-R4-weka.filters.unsupervised.attribute.MathExpression-E(A-MIN)/(MAX-MIN)-V-R5-weka.filters.unsupervised.attribute.MathExpression-E(A-MIN)/(MAX-MIN)-V-R6-weka.filters.unsupervised.attribute.MathExpression-E(A-MIN)/(MAX-MIN)-V-R7-weka.filters.unsupervised.attribute.MathExpression-E(A-MIN)/(MAX-MIN)-V-R8-weka.filters.unsupervised.attribute.MathExpression-E(A-MIN)/(MAX-MIN)-V-R9-weka.filters.unsupervised.attribute.MathExpression-E(A-MIN)/(MAX-MIN)-V-R10-weka.filters.unsupervised.attribute.MathExpression-E(A-MIN)/(MAX-MIN)-V-R11-weka.filters.unsupervised.attribute.MathExpression-E(A-MIN)/(MAX-MIN)-V-R12-weka.filters.unsupervised.attribute.MathExpression-E(A-MIN)/(MAX-MIN)-V-R13-weka.filters.unsupervised.attribute.Remove-R3-weka.filters.unsupervised.attribute.Remove-R6'

@attribute air numeric
@attribute pres numeric
@attribute uwnd numeric
@attribute vwnd numeric
@attribute GST numeric
@attribute APD numeric
@attribute Class_WVHT {0,1,2,3}

@data
0.329342,0.841635,0.617706,0.446154,0.264591,0.521902,1
0.251499,0.731801,0.686117,0.317949,0.463035,0.50438,3
0.245509,0.761175,0.710262,0.258974,0.51751,0.538173,2
0.323352,0.809706,0.65996,0.315385,0.439689,0.476846,2
0.455091,0.542784,0.221328,0.597436,0.521401,0.302879,2
0.443114,0.51341,0.219316,0.510256,0.326848,0.411765,2
0.395211,0.448276,0.293763,0.323077,0.385214,0.379224,2
0.431137,0.431673,0.50503,0.361538,0.48249,0.331665,2
0.347306,0.733078,0.515091,0.638462,0.303502,0.599499,3
0.335329,0.791826,0.486921,0.541026,0.2607,0.630788,2
0.353292,0.257982,0.400402,0.505128,0.272374,0.503129,2
0.395211,0.321839,0.299799,0.712821,0.575875,0.413016,3
0.353292,0.298851,0.782696,0.28718,0.365759,0.700876,3
0.305391,0.356322,0.841046,0.494872,0.525292,0.623279,3
0.341317,0.545338,0.78672,0.582051,0.463035,0.629537,3
0.32934,0.595147,0.750503,0.576923,0.439689,0.571965,3
0.317366,0.62069,0.668008,0.579487,0.486381,0.619524,2
0.32934,0.659004,0.617706,0.466667,0.361868,0.57572,3
0.317366,0.694764,0.599598,0.392308,0.252918,0.758448,2
0.353294,0.8659,0.682093,0.525641,0.373541,0.350438,2
0.389221,0.867178,0.752515,0.535897,0.463035,0.336671,2
0.119762,0.67433,0.56338,0.558974,0.214008,0.51189,1
0.455089,0.490421,0.464789,0.717949,0.330739,0.401752,2
0.455091,0.52235,0.422535,0.512821,0.568093,0.334168,2
0.401197,0.588761,0.490946,0.633333,0.381323,0.451815,2
0.407186,0.570881,0.279678,0.607692,0.303502,0.481852,1
0.473054,0.53129,0.237425,0.65641,0.322957,0.36796,2
0.461079,0.454662,0.645875,0.517949,0.18677,0.441802,1
0.443114,0.500639,0.694165,0.551282,0.042802,0.400501,1
0.401199,0.550447,0.688129,0.548718,0.544747,0.270338,1
0.389222,0.607918,0.579477,0.528205,0.330739,0.322904,1
0.491017,0.606641,0.243461,0.551282,0.361868,0.234043,1
0.485031,0.619413,0.237425,0.45641,0.354086,0.365457,2
0.491019,0.61175,0.219316,0.4,0.385214,0.416771,2
0.473054,0.60281,0.342052,0.435897,0.346304,0.463079,1
0.437126,0.623244,0.315895,0.551282,0.225681,0.42428,1
0.371257,0.642401,0.317907,0.494872,0.350195,0.790989,3
0.335331,0.303959,0.376258,0.658974,0.447471,0.352941,2
0.275449,0.402299,0.507042,0.64359,0.194553,0.612015,2
0.365271,0.411239,0.279678,0.746154,0.552529,0.390488,2
0.461077,0.371648,0.265594,0.702564,0.817121,0.362954,3
0.437126,0.372925,0.400402,0.479487,0.233463,0.662078,3
0.293412,0.485313,0.67002,0.71282,0.509728,0.723404,3
0.347306,0.679438,0.50503,0.697436,0.466926,0.68836,3
0.371257,0.780332,0.327968,0.558974,0.143969,0.683354,2
0.401199,0.699872,0.231388,0.584615,0.455253,0.484355,2
0.413174,0.563218,0,0.530769,0.700389,0.409262,3
0.395211,0.446999,0.084507,0.715385,0.88716,0.602003,3
0.461079,0.399745,0.110664,0.764103,0.856031,0.803504,3
0.497006,0.381865,0.267606,0.807692,0.715953,0.722153,3
0.461077,0.434227,0.356137,0.876923,0.595331,0.708385,3
0.508981,0.41507,0.287726,0.669231,0.521401,0.68836,3
0.419162,0.517241,0.356137,0.630769,0.322957,0.617021,2
0.377246,0.380587,0.488934,0.953846,0.688716,0.653317,3
0.359281,0.453384,0.569416,0.838461,0.509728,0.518148,2
0.347306,0.485313,0.334004,0.674359,0.377432,0.515645,2
0.407186,0.386973,0.078471,0.689744,0.684825,0.355444,3
0.371259,0.238825,0.382294,0.833333,0.731518,0.637046,3
0.335331,0.464879,0.653924,0.612821,0.48249,0.170404,3
0.329342,0.556833,0.547284,0.641026,0.412451,0.574468,3
0.341319,0.61175,0.458752,0.653846,0.291829,0.633292,2
0.395211,0.614304,0.336016,0.653846,0.365759,0.581977,2
0.401197,0.55811,0.146881,0.612821,0.501946,0.46433,3
0.449102,0.490421,0.156942,0.720513,0.828794,0.423029,3
0.371259,0.541507,0.458752,0.74359,0.490272,0.707134,3
0.377246,0.58493,0.410463,0.384615,0.245136,0.748436,2
0.371257,0.578544,0.390342,0.389744,0.264591,0.612015,2
0.407186,0.579821,0.38833,0.441026,0.252918,0.548185,2
0.401199,0.591315,0.38833,0.405128,0.190661,0.583229,2
0.353292,0.532567,0.255533,0.310256,0.431907,0.474343,2
0.437126,0.475096,0.193159,0.353846,0.396887,0.352941,2
0.413174,0.403576,0.167002,0.279487,0.649805,0.326658,2
0.407186,0.36143,0.207243,0.307692,0.525292,0.317897,2
0.419162,0.366539,0.28169,0.410256,0.455253,0.426783,2
0.443114,0.371648,0.303823,0.507692,0.2607,0.525657,2
0.395209,0.335888,0.348088,0.507692,0.303502,0.570713,2
0.359282,0.296296,0.390342,0.453846,0.280156,0.623279,2
0.383232,0.251596,0.394366,0.589744,0.307393,0.580726,2
0.389222,0.259259,0.396378,0.582051,0.198444,0.531915,2
0.383232,0.265645,0.360161,0.564103,0.280156,0.55194,1
0.401197,0.264368,0.346076,0.492308,0.225681,0.456821,2
0.389221,0.257982,0.366197,0.438462,0.392996,0.405507,1
0.371257,0.272031,0.45674,0.423077,0.11284,0.490613,1
0.335331,0.439336,0.700201,0.469231,0.501946,0.458073,2
0.275449,0.44189,0.541247,0.520513,0.22179,0.475594,2
0.299402,0.401022,0.277666,0.515385,0.326848,0.49562,1
0.371259,0.328225,0.108652,0.417949,0.509728,0.251564,2
0.419162,0.275862,0.142857,0.415385,0.669261,0.296621,3
0.425149,0.252874,0.21328,0.502564,0.55642,0.559449,3
0.395209,0.255428,0.207243,0.582051,0.509728,0.657071,3
0.365271,0.240102,0.215292,0.492308,0.564202,0.524406,3
0.389222,0.224777,0.303823,0.523077,0.669261,0.466834,2
0.377246,0.247765,0.374245,0.720513,0.466926,0.494368,2
0.359282,0.269476,0.342052,0.68718,0.642023,0.473091,2
