@relation dataset371

@attribute id numeric
@attribute bone_length numeric
@attribute rotting_flesh numeric
@attribute hair_length numeric
@attribute has_soul numeric
@attribute color {clear,green,black,white,blue,blood}
@attribute type {Ghoul,Goblin,Ghost}

@data
0,0.354512,0.350839,0.465761,0.781142,clear,Ghoul
1,0.57556,0.425868,0.531401,0.439899,green,Goblin
2,0.467875,0.35433,0.811616,0.791225,black,Ghoul
3,0.776652,0.508723,0.636766,0.884464,black,Ghoul
4,0.566117,0.875862,0.418594,0.636438,green,Ghost
5,0.40568,0.253277,0.44142,0.280324,green,Goblin
6,0.399331,0.568952,0.618391,0.467901,white,Goblin
7,0.516224,0.536429,0.612776,0.468048,clear,Ghoul
8,0.314295,0.67128,0.417267,0.227548,blue,Ghost
9,0.280942,0.701457,0.179633,0.141183,white,Ghost
10,0.431685,0.438959,0.239212,0.47182,clear,Goblin
11,0.584543,0.593082,0.681166,0.935721,clear,Ghoul
12,0.390712,0.335069,0.556109,0.784217,white,Ghoul
13,0.351559,0.471078,0.484458,0.465328,black,Goblin
14,0.513387,0.301345,0.745676,0.545792,clear,Goblin
15,0.500197,0.438418,0.53253,0.665522,clear,Ghoul
16,0.25077,0.246258,0.554654,0.250036,black,Ghost
17,0.585559,0.585939,1,0.708692,black,Ghoul
18,0.605836,0.587943,0.529361,0.526718,blue,Ghoul
19,0.52408,0.750988,0.524637,0.443358,green,Ghost
20,0.503164,0.464055,0.497783,0.472031,clear,Goblin
21,0.472603,0.427151,0.59013,0.356488,white,Ghoul
22,0.374449,0.384183,0.675868,0.4147,clear,Goblin
23,0.34335,0.39745,0.478876,0.621823,white,Ghoul
24,0.687256,0.301576,0.761949,0.513779,clear,Ghoul
25,0.22901,0.567313,0.373743,0.329636,white,Ghost
26,0.388501,0.342306,0.669627,0.538649,clear,Goblin
27,0.492438,0.623197,0.604879,0.376142,green,Goblin
28,0.411663,0.454075,0.408097,0.432921,white,Goblin
29,0.304198,0.266904,0.527225,0.386713,clear,Goblin
30,0.672977,0.620479,0.435714,0.328717,clear,Ghoul
